Family,TaxonName,Genus,Species,InfraName1,InfraName2,InfraName3,Cultivar,TradeName,CommonNameAll,Distribution,LifeForm,QRCodeURL,NameID
Theaceae,Camellia 'Scented Snow',Camellia,,,,,'Scented Snow',,Scented Snow Camellia,Interspecies Hybrid,Shrub/sub-shrub,taxon-15632.aspx?qr=0,15632
Theaceae,Camellia 'Winter's Snowman',Camellia,,,,,'Winter's Snowman',,Winter's Snowman Camellia,Horticultural Origin,Shrub/sub-shrub,taxon-17024.aspx?qr=0,17024
Theaceae,Camellia 'Ann McCulloch Hill',Camellia,,,,,'Ann McCulloch Hill',,Ann McCulloch Hill Camellia,Interspecies Hybrid,Shrub/sub-shrub,taxon-15618.aspx?qr=0,15618
Theaceae,Camellia japonica,Camellia,japonica,,,,,,Japanese Camellia,"Korea, Japan, Taiwan",Shrub/sub-shrub,taxon-2215.aspx?qr=0,2215
Theaceae,Camellia japonica 'Alba Plena',Camellia,japonica,,,,'Alba Plena',,Alba Plena,"Korea, Japan, Taiwan",Shrub/sub-shrub,taxon-2216.aspx?qr=0,2216
Theaceae,Camellia japonica 'Debutante',Camellia,japonica,,,,'Debutante',,Debutante Camellia,"Korea, Japan, Taiwan",Shrub/sub-shrub,taxon-2218.aspx?qr=0,2218
Theaceae,Camellia japonica 'Elata',Camellia,japonica,,,,'Elata',,Elata Camellia,"Korea, Japan, Taiwan",Shrub/sub-shrub,taxon-2219.aspx?qr=0,2219
Theaceae,Camellia japonica 'Imbricata Rubra Plena',Camellia,japonica,,,,'Imbricata Rubra Plena',,Imbricata Rubra Plena,"Korea, Japan, Taiwan",Shrub/sub-shrub,taxon-2222.aspx?qr=0,2222
Theaceae,Camellia japonica 'Tama-no-ura',Camellia,japonica,,,,'Tama-no-ura',,Tama-no-ura Camellia,"China, Korea, Japan",Shrub/sub-shrub,taxon-15621.aspx?qr=0,15621
Theaceae,Camellia japonica 'Bloomfield',Camellia,japonica,,,,'Bloomfield',,Bloomfield Camellia,Korea,Shrub/sub-shrub,taxon-16391.aspx?qr=0,16391
Theaceae,Camellia japonica 'Cheerfulness',Camellia,japonica,,,,'Cheerfulness',,Cheerfulness Camellia,"China, Korea, Japan",Shrub/sub-shrub,taxon-2217.aspx?qr=0,2217
Theaceae,Camellia japonica 'Monjisu',Camellia,japonica,,,,'Monjisu',,Monjisu Camellia,"Korea, Japan, Taiwan",Shrub/sub-shrub,taxon-2224.aspx?qr=0,2224
